Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Nuh,NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony Sony Android TV 2019 M3 Smart TV,2021-06-22T13:30:50.588,2025-03-26T19:16:01.769,2021-06-29T15:26:15.478,2025-03-26T19:16:01.769,2021-06-22T13:30:50.588,2025-03-26T19:16:01.769,2021-06-29T15:26:15.478,2025-03-26T19:16:01.769,1970-01-01T00:00:00.000
Nuh,NFCDSF-01-L4U6F51W0DHLPH25TTCF9GJG4H050C,Safari MAC (Cadmium),2024-05-21T22:03:38.760,2025-03-26T17:05:09.076,2024-05-21T22:10:10.985,2025-03-22T10:35:22.572,2024-05-21T22:03:38.760,2025-03-26T17:05:09.076,2024-05-21T22:10:10.985,2025-03-22T10:35:22.572,1970-01-01T00:00:00.000
Nuh,NFCDCH-02-LRNAMRRH4YXNHHKL4ETX1FW1WE58F4,Chrome PC (Cadmium),2025-01-17T19:09:19.316,2025-03-25T20:12:37.804,2025-01-17T19:13:44.361,2025-03-25T20:12:37.804,2025-01-17T19:09:19.316,2025-03-25T20:12:37.804,2025-01-17T19:13:44.361,2025-03-25T20:12:37.804,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE15=3-A02CF83A8ABB74C2D5D3408664A36C8EADF1C710A7D299B0BB71060CDAF18641,Apple iPhone 14 Pro Max iPhone,2023-08-11T11:27:33.684,2025-03-21T21:12:34.936,2023-08-11T11:27:57.280,2025-03-21T21:12:34.936,2023-08-11T11:27:33.684,2025-03-21T21:12:34.936,2023-08-11T11:27:57.280,2025-03-21T21:12:34.936,2024-10-11T18:50:24.944
Nuh,NFAPPL-02-IPHONE15=3-77640EDD888E173D9F71936FDB480D6752C6BB334BDD6D4C5B538D5D5A5B1225,Apple iPhone 14 Pro Max iPhone,2025-02-01T07:27:28.972,2025-03-20T14:23:24.609,2025-02-01T12:04:37.505,2025-03-20T14:23:24.609,2025-02-01T07:27:28.972,2025-03-20T14:23:24.609,2025-02-01T12:04:37.505,2025-03-20T14:23:24.609,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-LXR95NDGVTDYPLAE4VTDNDNH8KPAJH,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-01-LQP0QM0UCJ7FL07JJDFXM7V8QN6MNY,Safari MAC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-01-LQLJNRHPMQ112W4WCNVVT5NF2PXHEC,Safari MAC (Cadmium),2025-01-04T23:40:01.201,2025-01-05T07:51:24.323,2025-01-04T23:40:01.201,2025-01-05T07:51:24.323,2025-01-04T23:40:01.201,2025-01-05T07:51:24.323,2025-01-04T23:40:01.201,2025-01-05T07:51:24.323,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE15=3-UPG357D7KKTUOUVBAPSS3RRR5XZZM2QQA7VNULSAJU6E75OJLO6Q,Apple iPhone 14 Pro Max iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE15=3-SAV5RCPTGQLTFI43AEOIFXTTYCF6KWLDZNDDHX3Y5VO4NOEJF66Q,Apple iPhone 14 Pro Max iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE15=3-2P5DX5OK24PESSBX7MLIOMGSSLT7UYTO3CPJEAEEIM4ZV3YYV3MQ,Apple iPhone 14 Pro Max iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDCH-02-HUG4Q6JNQXFP0HHU0N87X903JFU9H2,Chrome PC (Cadmium),2021-12-16T19:14:03.406,2024-12-30T11:16:45.676,2021-12-16T19:14:03.406,2024-12-30T11:16:45.676,2021-12-16T19:14:03.406,2024-12-30T11:16:45.676,2021-12-16T19:14:03.406,2024-12-30T11:16:45.676,1970-01-01T00:00:00.000
Nuh,NFCDSF-01-LPNY40X5LKUAK7AKC346UW2YUHUC9N,Safari MAC (Cadmium),2024-12-24T18:08:23.856,2024-12-24T18:08:23.856,,,2024-12-24T18:08:23.856,2024-12-24T18:08:23.856,,,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE15=3-C58078D7F8EB6547882DB45580995A2B5C848B3EDA2568DF32C6F568A67890AB,Apple iPhone 14 Pro Max iPhone,2023-09-14T14:18:45.244,2024-12-12T23:05:45.167,2024-01-16T15:12:01.320,2024-12-12T23:05:45.167,2023-09-14T14:18:45.244,2024-12-12T23:05:45.167,2024-01-16T15:12:01.320,2024-12-12T23:05:45.167,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-LNPUJ2P5RHGFN0P0MD9VJ9VUG64QCJ,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-LHK3Z20T2EDURKKDU6841FWPUQ66WR,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-LJLG4YEECQDYU9FRPWWV50FVD3WPJF,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDCH-MC-H1VNTN5XU93NULW61LE3GPPN64MGNW,Netflix Chrome MAC (Cadmium) HTML 5,2024-10-13T11:12:52.696,2024-10-13T14:31:17.158,2024-10-13T11:12:52.696,2024-10-13T14:31:17.158,2024-10-13T11:12:52.696,2024-10-13T14:31:17.158,2024-10-13T11:12:52.696,2024-10-13T14:31:17.158,1970-01-01T00:00:00.000
Nuh,NFCDCH-MC-KLUNJ40V6L9Y77TK4CGFY7DA9D5TRR,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDCH-MC-LHKWA7LUCDCY2PL6HAPJ9UU5LG3A7T,Netflix Chrome MAC (Cadmium) HTML 5,2024-10-11T18:42:35.054,2024-10-13T00:46:39.233,2024-10-11T18:42:35.054,2024-10-13T00:46:39.233,2024-10-11T18:42:35.054,2024-10-13T00:46:39.233,2024-10-11T18:42:35.054,2024-10-13T00:46:39.233,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-LCD11ZQ3E3ACN8M4M3QWMLX5RNWDNP,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-LAWFEKRRMYFRWQV7EA5K69DQCNJXJ8,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFAPPL-02-IPHONE15=3-6QT7L3OLQY2STOHKS6FS3V2FP4GNCEK4L44WXV76B4FW6NAANN3Q,Apple iPhone 14 Pro Max iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-LAA8TC1RNR5G2N4LRALC24LJKK6E9C,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-L6QWLJN771WW2R6LEA9D6ETNFTGYWU,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-01-KLULW7HE6JT2A1C5FKL1XPHG045WT8,Safari MAC (Cadmium),2023-10-28T18:14:54.102,2024-04-07T00:34:41.631,2023-10-28T18:15:25.291,2024-04-07T00:23:11.744,2023-10-28T18:14:54.102,2024-04-07T00:34:41.631,2023-10-28T18:15:25.291,2024-04-07T00:23:11.744,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-L0XNG6KG8NAJFKH06X9848FJ9AGKMD,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-L0XNJHP8KFFU0K5WPY98CHRH3843CW,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,LGTV20203=31013684477,LG DTV 2020 RTK K6Lp UHD TV Smart TV,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-L0XNANDDCPA9UD8TC77LJ6F3XFK0FM,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-L0XN96Y3C2F12W7NHG8GJD6KC03Q4M,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-L0F5A5ATVQXMCAEK4JCP3KPL0XVNNF,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDCH-02-G93JVK5N0KQ4RVDFRHYA20C69A0N4F,Chrome PC (Cadmium),2024-03-17T10:43:23.456,2024-03-17T10:43:42.820,2024-03-17T10:43:23.456,2024-03-17T10:43:42.820,2024-03-17T10:43:23.456,2024-03-17T10:43:42.820,2024-03-17T10:43:23.456,2024-03-17T10:43:42.820,1970-01-01T00:00:00.000
Nuh,NFCDCH-02-KZEK6A2YAU6WCRFYLLVYJ4C9NRQCC0,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-KZEK85M09H1HJ6X7HREW8MLU7U4XKL,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-PH-KZEK7VCTAAUJX3640FVVPVQK7Q43F2,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000
Nuh,NFCDSF-01-KR8LEP0HCC25CYKA5JUM3DWVRRLFHD,Safari MAC (Cadmium),2023-12-21T14:38:04.436,2023-12-21T14:38:04.436,,,2023-12-21T14:38:04.436,2023-12-21T14:38:04.436,,,1970-01-01T00:00:00.000
Nuh,NFCDCH-MC-KPQ5EXMMF8CTFN897MR2651843W49V,Netflix Chrome MAC (Cadmium) HTML 5,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,2023-12-02T20:39:10.639,1970-01-01T00:00:00.000
