Esn,Country,Region Code,Device Description,Ip,Ts
,TR,46,Netflix iPhone-Safari iPhone,178.244.99.216,2024-10-24 03:18:55
,TR,54,Safari MAC (Cadmium),176.234.217.202,2025-03-26 17:00:42
,TR,54,Safari MAC (Cadmium),176.234.217.202,2025-03-26 17:00:42
,TR,54,Safari MAC (Cadmium),176.234.217.202,2025-03-26 17:02:08
,TR,06,Chrome PC (Cadmium),78.184.97.190,2025-01-17 19:09:03
,TR,34,Netflix Chrome MAC (Cadmium) HTML 5,159.20.69.21,2024-10-11 18:41:49
,TR,34,Netflix iPhone-Safari iPhone,159.20.69.3,2024-11-09 10:50:32
,TR,34,Netflix iPhone-Safari iPhone,159.20.69.3,2024-11-09 10:50:54
,TR,34,Netflix iPhone-Safari iPhone,176.234.89.243,2024-10-14 10:47:43
,TR,06,Apple iPhone 14 Pro Max iPhone,78.184.97.190,2025-01-03 08:41:20
,TR,06,Apple iPhone 14 Pro Max iPhone,78.184.97.190,2025-01-03 09:36:06
,TR,34,Netflix iPhone-Safari iPhone,176.234.89.243,2024-10-11 11:45:38
,TR,41,Safari MAC (Cadmium),176.234.89.140,2024-12-24 18:08:06
,TR,34,Safari MAC (Cadmium),92.44.102.17,2025-01-04 23:39:41
,TR,06,Apple iPhone 14 Pro Max iPhone,78.184.97.190,2025-01-03 08:49:18
,TR,54,Safari MAC (Cadmium),176.234.217.202,2025-03-26 17:04:13
,TR,34,Netflix iPhone-Safari iPhone,188.58.111.203,2024-10-11 14:27:26
,TR,34,Netflix Chrome MAC (Cadmium) HTML 5,159.20.69.21,2024-10-13 11:12:21
,TR,54,Safari MAC (Cadmium),176.234.217.202,2025-03-26 17:00:42
,TR,54,Safari MAC (Cadmium),176.234.217.202,2025-03-26 17:00:42
,TR,54,Safari MAC (Cadmium),176.234.217.202,2025-03-26 17:00:42
,TR,54,Safari MAC (Cadmium),176.234.217.202,2025-03-26 17:00:42
,TR,54,Safari MAC (Cadmium),176.234.217.202,2025-03-26 17:00:42
,TR,54,Safari MAC (Cadmium),176.234.217.202,2025-03-26 17:01:51
,TR,06,Netflix iPhone-Safari iPhone,88.238.143.46,2024-08-09 11:57:51
,TR,34,Netflix iPhone-Safari iPhone,176.234.217.202,2025-03-20 14:22:45
,TR,06,Apple iPhone 14 Pro Max iPhone,88.238.143.46,2024-08-09 11:58:18
,TR,34,Netflix iPhone-Safari iPhone,176.234.217.202,2025-03-20 18:19:47
,TR,34,Netflix Chrome MAC (Cadmium) HTML 5,159.20.69.21,2024-10-11 18:41:38
,TR,34,Netflix Chrome MAC (Cadmium) HTML 5,159.20.69.21,2024-10-11 18:41:43
,TR,06,Apple iPhone 14 Pro Max iPhone,88.238.143.46,2024-08-09 19:05:11
,TR,34,Safari MAC (Cadmium),176.234.93.173,2025-01-05 22:08:55
,TR,34,Netflix iPhone-Safari iPhone,92.44.149.86,2024-12-12 22:56:34
,TR,06,Apple iPhone 14 Pro Max iPhone,78.184.119.214,2024-10-11 18:50:33
