Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony_BRAVIA%204K%20UR2,Sony_BRAVIA%204K%20UR2,88.238.143.41,TR,Ankara,HILAL MAH.,2024-05-30 05:16:35
NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony_BRAVIA%204K%20UR2,Sony_BRAVIA%204K%20UR2,78.184.97.190,TR,Ankara,BEYTEPE MAH.,2024-12-19 06:20:53
NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony_BRAVIA%204K%20UR2,Sony_BRAVIA%204K%20UR2,78.184.97.190,TR,Ankara,BIRLIK MAH.,2025-01-14 12:57:24
NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony_BRAVIA%204K%20UR2,Sony_BRAVIA%204K%20UR2,78.184.119.214,TR,Ankara,BIRLIK MAH.,2024-08-24 09:57:26
NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony_BRAVIA%204K%20UR2,Sony_BRAVIA%204K%20UR2,78.184.102.180,TR,Ankara,HILAL MAH.,2024-08-15 01:44:39
NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony_BRAVIA%204K%20UR2,Sony_BRAVIA%204K%20UR2,78.184.119.214,TR,Ankara,BAHCELIEVLER,2024-09-09 15:07:17
NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony_BRAVIA%204K%20UR2,Sony_BRAVIA%204K%20UR2,78.184.119.214,TR,Ankara,BALGAT,2024-10-11 08:24:13
NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony_BRAVIA%204K%20UR2,Sony_BRAVIA%204K%20UR2,88.238.143.46,TR,Ankara,BUYUKESAT MAH.,2024-07-18 09:50:54
NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony_BRAVIA%204K%20UR2,Sony_BRAVIA%204K%20UR2,78.184.119.214,TR,Ankara,ASAGIOVECLER MAH.,2024-10-29 08:45:53
NFANDROID2-PRV-SONYANDROIDTV2019M3-SONY=BRAVIA=4K=UR2-10378-2C5D8B4880615DBAC0C017307CE96F1AC325607D08CF8A02E44027EDC916997A,Sony_BRAVIA%204K%20UR2,Sony_BRAVIA%204K%20UR2,88.238.137.215,TR,Ankara,ASIKPASA MAH.,2025-02-27 05:37:28
